rencana_id;product_code;stok;kebutuhan;created_at;updated_at
1;706-KSO;880;0;01/07/2023;01/07/2023
1;706-AEN;0;0;01/07/2023;01/07/2023
1;706-MGM;0;0;01/07/2023;01/07/2023
1;706-MNG;0;0;01/07/2023;01/07/2023
1;706-CUP;500;0;01/07/2023;01/07/2023
1;706-ZNC;0;0;01/07/2023;01/07/2023
1;706-ISO;0;0;01/07/2023;01/07/2023
1;706-AMO;0;0;01/07/2023;01/07/2023
1;706-PIS;0;0;01/07/2023;01/07/2023
1;706-IOD;1050;0;01/07/2023;01/07/2023
1;706-MTH;250;0;01/07/2023;01/07/2023
1;706-EOS;50;0;01/07/2023;01/07/2023
1;706-AQU;0;0;01/07/2023;01/07/2023
1;706-BEN;0;0;01/07/2023;01/07/2023
1;706-PRO;0;0;01/07/2023;01/07/2023
1;706-MBS;0;0;01/07/2023;01/07/2023
1;706-BKN-1;0;0;01/07/2023;01/07/2023
1;706-DET;0;0;01/07/2023;01/07/2023
1;706-DDK;0;0;01/07/2023;01/07/2023
1;706-BBD;0;0;01/07/2023;01/07/2023
1;706-BBY-1;0;0;01/07/2023;01/07/2023
1;706-BBY-2;0;0;01/07/2023;01/07/2023
1;706-BSL-1;0;0;01/07/2023;01/07/2023
1;706-BTM-1;0;0;01/07/2023;01/07/2023
1;706-BTM-2;0;0;01/07/2023;01/07/2023
1;706-BLC-1;0;0;01/07/2023;01/07/2023
1;706-BCB-1;0;0;01/07/2023;01/07/2023
1;706-BCM-1;0;0;01/07/2023;01/07/2023
1;706-BPC-1;0;0;01/07/2023;01/07/2023
1;706-BLC-2;0;0;01/07/2023;01/07/2023
1;706-BTT-1;0;0;01/07/2023;01/07/2023
1;706-BBC-1;0;0;01/07/2023;01/07/2023
1;706-BBS-1;0;0;01/07/2023;01/07/2023
1;706-BTT-2;0;0;01/07/2023;01/07/2023
1;706-BCB-2;0;0;01/07/2023;01/07/2023
1;706-BJG-1;0;0;01/07/2023;01/07/2023
1;706-BKM-1;0;0;01/07/2023;01/07/2023
